Record Time,Symbol,TradingView Time,Open,High,Low,Close,MA_960,MA_P80,MA_P200,MA_N110,MA_N200
2026-02-02 10:26:00,MXF1!,2026-02-02 10:25:00,31628,31650,31616,31617,31994.3927083333,32074.3927083333,32194.3927083333,31884.3927083333,31794.3927083333
2026-02-02 10:27:00,MXF1!,2026-02-02 10:26:00,31617,31629,31606,31608,31993.690625,32073.690625,32193.690625,31883.690625,31793.690625
2026-02-02 10:28:00,MXF1!,2026-02-02 10:27:00,31606,31629,31593,31619,31992.9833333333,32072.9833333333,32192.9833333333,31882.9833333333,31792.9833333333
2026-02-02 10:29:00,MXF1!,2026-02-02 10:28:00,31621,31637,31609,31611,31992.2854166667,32072.2854166667,32192.2854166667,31882.2854166667,31792.2854166667
2026-02-02 10:30:00,MXF1!,2026-02-02 10:29:00,31613,31623,31592,31616,31991.6239583333,32071.6239583333,32191.6239583333,31881.6239583333,31791.6239583333
2026-02-02 10:31:00,MXF1!,2026-02-02 10:30:00,31614,31643,31608,31623,31990.96875,32070.96875,32190.96875,31880.96875,31790.96875
2026-02-02 10:32:00,MXF1!,2026-02-02 10:31:00,31625,31642,31612,31637,31990.3229166667,32070.3229166667,32190.3229166667,31880.3229166667,31790.3229166667
2026-02-02 10:33:00,MXF1!,2026-02-02 10:32:00,31639,31653,31621,31627,31989.69375,32069.69375,32189.69375,31879.69375,31789.69375
2026-02-02 10:34:00,MXF1!,2026-02-02 10:33:00,31629,31645,31604,31606,31989.028125,32069.028125,32189.028125,31879.028125,31789.028125
2026-02-02 10:35:00,MXF1!,2026-02-02 10:34:00,31604,31605,31560,31572,31988.325,32068.325,32188.325,31878.325,31788.325
2026-02-02 10:36:00,MXF1!,2026-02-02 10:35:00,31571,31602,31553,31591,31987.6447916667,32067.6447916667,32187.6447916667,31877.6447916667,31787.6447916667
2026-02-02 10:37:00,MXF1!,2026-02-02 10:36:00,31592,31662,31591,31658,31987.03125,32067.03125,32187.03125,31877.03125,31787.03125
2026-02-02 10:38:00,MXF1!,2026-02-02 10:37:00,31657,31682,31639,31653,31986.4052083333,32066.4052083333,32186.4052083333,31876.4052083333,31786.4052083333
2026-02-02 10:38:59,MXF1!,2026-02-02 10:38:00,31654,31662,31634,31640,31985.7708333333,32065.7708333333,32185.7708333333,31875.7708333333,31785.7708333333
2026-02-02 10:40:00,MXF1!,2026-02-02 10:39:00,31640,31658,31631,31657,31985.1552083333,32065.1552083333,32185.1552083333,31875.1552083333,31785.1552083333
2026-02-02 10:41:00,MXF1!,2026-02-02 10:40:00,31655,31686,31655,31666,31984.5385416667,32064.5385416667,32184.5385416667,31874.5385416667,31784.5385416667
2026-02-02 10:42:00,MXF1!,2026-02-02 10:41:00,31666,31668,31651,31653,31983.9208333333,32063.9208333333,32183.9208333333,31873.9208333333,31783.9208333333
2026-02-02 10:43:00,MXF1!,2026-02-02 10:42:00,31652,31670,31646,31650,31983.2958333333,32063.2958333333,32183.2958333333,31873.2958333333,31783.2958333333
2026-02-02 10:43:59,MXF1!,2026-02-02 10:43:00,31655,31660,31624,31630,31982.653125,32062.653125,32182.653125,31872.653125,31782.653125
2026-02-02 10:45:01,MXF1!,2026-02-02 10:44:00,31632,31635,31614,31631,31982.00625,32062.00625,32182.00625,31872.00625,31782.00625
